NDC,GPI
00067434790,82300010000455
86790001960,82300010000455
00067434760,82300010000455
00067434772,82300010000455
86790001930,82300010000455
00067434730,82300010000455
00083012530,82300010100410
00067012575,82300010100410
00067012547,82300010100410
00083012417,82994002257520
79854007749,82300010100410
57896063506,79409902480630
12333024902,82300010100410
11845015265,82300010000460
11845014315,82300010100410
37205036865,82300010100410
37205003965,82300005000420
10939034444,82300010000455
40985027343,82300010100405
10157010261,90750030004002
10157102601,90750030004002
10157102101,92100070000920
10157103101,90059902366420
10157102901,92100070000920
10157010062,90750030004325
10157010061,90750030004325
10157100601,90750030004325
10157100602,90750030004325
12843006955,90052002104310
12843006555,90052002104310
12843005655,90052002104330
12843008532,90750030004320
10157010051,90750030004320
10157100501,90750030004320
10157100701,90750030004320
00228207610,60201030000105
00228207650,60201030000105
00349892705,60201030000105
00641451188,60201030000105
00641451186,60201030000105
00349892701,60201030000105
00349848701,60201030000105
55289066030,60201030000110
55289066060,60201030000110
55289066090,60201030000110
58864048930,60201030000110
00440014930,60201030000108
00440847630,60201030000110
00440847615,60201030000110
00440014801,60201030000103
00440847530,60201030000105
00440847515,60201030000105
00440847514,60201030000105
00440014605,60201030000105
00440014601,60201030000105
41163023133,82300010000332
41163021315,46300020100310
41163032533,43994003203025
41163011891,43994003203025
41163033033,43995904503025
41163033533,43995904503035
41163068953,89994002155220
41163023517,79100005000320
41163036230,66100020000305
41163036220,66100020000305
41163036214,66100020000305
41163000720,64200010001820
41163044962,64200010000515
41163069338,46100020102000
41163066738,46100020102000
41163054073,48990002101820
41163035640,48990002101820
68258894701,2717002000D220
68258894802,2717002000D240
00456140501,33200040100320
00456141001,33200040100330
00456141030,33200040100330
00456141063,33200040100330
00456140201,33200040100310
00456140263,33200040100310
00456140230,33200040100310
00456142090,33200040100340
00456142030,33200040100340
00456142001,33200040100340
68258698703,33200040100330
68258698230,33200040100340
68258696403,33200040100310
68258698803,33200040100320
00456140563,33200040100320
00456140530,33200040100320
51138045330,33200040100320
40986001850,82300010100410
68016001850,82300010100410
42254037730,82300010100406
11917011546,82300010000457
00182447829,82300010100406
00182447629,82300010100410
53506006230,79700030000420
54569066100,79700030000420
00083016532,79700030000420
54569066102,79700030000420
54569066101,79700030000420
55175248406,79700030000420
55175248400,79700030000420
00083016565,79700030000420
57267016565,79700030000420
00083016540,79700030000420
57267016530,79700030000420
00078032005,79700030000420
10157100702,90750030004320
10157010071,90750030004320
10157010072,90750030004320
10157100801,90750030004325
52244003060,23100030006320
21406007560,23100030006320
55056306001,23100030006320
54569635200,12109904300320
61958120101,12109904300320
54868637100,12109904300320
12843007824,90973000003500
10157103701,90750030000910
10157101001,90750030004390
12843009709,90052002104330
12843009850,90052002104330
12843009701,90052002104330
12843009832,90052002104330
12843006633,90750030004002
00904281160,60201030000110
00904281161,60201030000110
00904281140,60201030000110
00904281061,60201030000105
00904281060,60201030000105
00904281040,60201030000105
00904588561,60201030000105
00440014705,60201030000110
00440847614,60201030000110
00440014701,60201030000110
53978501705,60201030000110
53978501605,60201030000105
63739023115,60201030000105
63739000333,60201030000103
63739023110,60201030000105
63739023210,60201030000110
63739012510,60201030000110
63739023215,60201030000110
52555024201,60201030000105
11845034503,60201030000110
11845034403,60201030000105
41163025091,55104050105205
41163025090,55104050103710
41163083143,46400010001700
41163023374,50200030000310
41163023383,64991003150310
41163023534,80500020000350
41163023170,79100005000320
41163023532,79100005000320
41163023184,95210354000180
41163025109,88200000004700
41163023533,79400010000312
41163023538,79900040000305
41163023178,77203050000130
41163023188,77203050000145
41163023529,77203050000135
41163023179,77203050000135
41163023974,77103010000330
41163023165,77103010000330
41163023550,77103010000450
51138045530,33200040100340
51138045230,33200040100310
51138045430,33200040100330
00456141090,33200040100330
00456140590,33200040100320
54569634201,33200040100330
54569634200,33200040100330
54569611900,33200040100320
54868594401,33200040100320
54868601801,33200040100330
54868601800,33200040100330
54868594400,33200040100320
00313041892,43995803341220
05388076692,78104000000100
25077126050,78104000000100
25077012602,78104000000100
40986001770,77108010000330
11845011735,77108010000330
11845011739,77108010000330
08290207501,90800000004300
08290207353,97350000000000
08290207354,97350000000000
08290207355,97350000000000
08290207320,97350000000000
08290207322,97350000000000
08290207321,97350000000000
49022043346,97350000000000
08290207516,97375010006300
08290007339,97350000000000
08290007336,97350000000000
08290007337,97350000000000
08290007338,97350000000000
41353080100,97100000006300
